File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\light.h,234,46,18,0,29,1,159,1052,43,251
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\material.h,1492,538,66,2,268,12,686,4107,43,253
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\matrix3x3.h,184,57,30,0,31,1,96,547,43,257
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\matrix4x4.h,239,63,40,0,40,2,136,819,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\mesh.h,735,283,158,37,112,11,340,2584,44,265
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\postprocess.h,631,73,3,0,41,2,517,3693,42,251
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\quaternion.h,125,38,23,0,27,1,60,404,42,253
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\scene.h,379,108,58,7,65,4,206,1482,43,257
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\texture.h,198,60,23,4,26,2,112,753,48,296
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\types.h,500,238,117,16,80,20,182,1181,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\vector2.h,108,41,26,0,21,2,46,264,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\vector3.h,144,46,29,0,36,3,62,354,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\version.h,105,19,6,0,13,2,73,429,44,260
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\Compiler\poppack1.h,23,8,0,0,5,0,10,52,9,46
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\Compiler\pushpack1.h,42,15,0,0,10,0,17,63,16,49
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\config.h,141,15,0,0,30,1,96,412,2,12
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\devil_internal_exports.h,162,111,81,0,19,33,32,292,11,24
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\il.h,645,476,141,0,83,63,86,749,15,34
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\ilu.h,196,133,75,0,30,21,33,153,15,35
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\ilut.h,391,234,94,0,67,24,90,330,15,36
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\ilut_config.h,27,8,0,0,6,1,13,33,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\ilu_region.h,26,9,5,0,6,1,11,25,11,24
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL\il_wrap.h,206,154,115,0,45,5,7,23,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\glut\GL\glut.h,717,503,133,0,61,13,153,923,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleAssimpViewX\ModelLoaderHelperClasses.h,99,53,42,0,19,1,27,137,7,15
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleAssimpViewX\MyDocument.h,60,31,21,0,18,1,11,42,7,14
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL\include\boost_includes.h,1,1,0,0,0,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL\src\model_loading.cpp,897,633,401,93,184,180,80,1211,14,86
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\amiga\include\config\ftconfig.h,56,15,0,0,6,0,35,167,24,129
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\amiga\include\config\ftmodule.h,161,83,0,0,30,0,48,242,42,231
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\amiga\include\config\PaxHeaders.20920\ftconfig.h,4,3,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\amiga\include\config\PaxHeaders.20920\ftmodule.h,3,2,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\atari\ATARI.H,21,13,0,0,7,4,1,19,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\atari\PaxHeaders.20920\ATARI.H,3,2,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\vms\ftconfig.h,642,295,44,6,164,42,183,1139,32,188
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\builds\vms\PaxHeaders.20920\ftconfig.h,4,3,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\devel\ft2build.h,41,5,0,0,9,1,27,158,26,154
