Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImage.NET,5,226,111,75,6,31,4,84,592,46,311
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImage.NET\cpp,5,226,111,75,6,31,4,84,592,46,311
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImage.NET\cpp\FreeImageIO,5,226,111,75,6,31,4,84,592,46,311
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus,16,8009,2578,1903,448,1147,30,4284,22440,320,2148
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus\dist,2,3428,574,446,10,396,12,2458,12584,40,266
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus\dist\x32,1,1714,287,223,5,198,6,1229,6292,20,133
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus\dist\x64,1,1714,287,223,5,198,6,1229,6292,20,133
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus\src,7,1938,1297,891,379,338,11,303,1751,140,945
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper\FreeImagePlus\test,6,929,420,343,54,215,1,294,1813,120,804
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\freeglut,4,916,497,180,0,113,11,306,1582,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\freeglut\include,4,916,497,180,0,113,11,306,1582,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\freeglut\include\GL,4,916,497,180,0,113,11,306,1582,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glew,3,21155,16199,5927,0,4078,660,878,5830,202,1758
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm,61,7564,5465,4131,398,1444,23,655,2871,517,2162
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\glm,1,41,5,1,0,5,0,31,240,30,233
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\glm\core,1,41,5,1,0,5,0,31,240,30,233
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test,60,7523,5460,4130,398,1439,23,624,2631,487,1929
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\core,29,3657,2700,2030,195,649,12,308,1185,236,878
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\external,1,5,3,1,0,2,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\external\gli,1,5,3,1,0,2,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\external\gli\core,1,5,3,1,0,2,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\gtc,15,2510,1852,1464,122,492,4,166,849,139,631
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\glm\test\gtx,14,1344,899,635,81,295,7,150,597,112,420
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\lua5.1,4,1349,542,171,2,335,27,472,2858,21,96
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\lua5.1\include,4,1349,542,171,2,335,27,472,2858,21,96
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\soil,7,1943,1126,603,73,170,11,647,4052,123,673
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\soil\src,7,1943,1126,603,73,170,11,647,4052,123,673
